restaurant_id,analysis,outcome,exposure,issue_summary,separation,quasi_separation,separation_type,n_obs,n_exposed,n_unexposed,distinct_outcome_unexposed,distinct_outcome_exposed,very_sparse_exposure,very_sparse_outcome,distinct_values_exposure,distinct_values_outcome,correlation,mean_outcome_unexposed,mean_outcome_exposed,outcome_pct_zero_when_exp0,prop_zero_exposure,prop_zero_outcome,high_zero_exposure,high_zero_outcome,imbalanced,small_sample,problematic,exposure_column
ED5J990H5VAZT,proportion,meat,vegetarian_dishes_prop,Imbal(52%),FALSE,FALSE,OK,2618,1372,0,0,33,FALSE,FALSE,46,101,-0.477,NA,5.03,NA,0,0.301,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,meat,vegetarian_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1527,577,0,0,97,FALSE,FALSE,45,105,0.198,NA,40.75,NA,0,0.208,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,meat,vegetarian_dishes_prop,Imbal(48%),FALSE,FALSE,OK,318,154,0,0,43,FALSE,FALSE,22,45,-0.053,NA,20.56,NA,0,0.009,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,meat,vegetarian_dishes_prop,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,2,269,FALSE,FALSE,8,269,0.289,0.03,108.32,97.1,0.023,0.032,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,meat,vegetarian_dishes_prop,Imbal(69%),FALSE,FALSE,OK,1201,831,0,0,28,FALSE,FALSE,59,28,0.001,NA,7.9,NA,0,0.162,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,mpbamod_dishes_count,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,TRUE,FALSE,1,470,NA,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,110,145,FALSE,FALSE,6,153,0.524,20.54,61.59,15.2,0.792,0.137,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,80,FALSE,FALSE,18,117,-0.186,NA,37.29,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,49,55,FALSE,FALSE,3,69,0.582,38.39,58.49,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,nonvegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,1507,1051,456,182,303,FALSE,FALSE,3,329,0.307,91.65,154.32,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,61,FALSE,FALSE,18,64,0.195,NA,25.43,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,FALSE,FALSE,5,470,-0.174,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,145,FALSE,FALSE,14,153,0.516,NA,61.59,NA,0,0.137,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,78,FALSE,FALSE,51,117,-0.313,NA,37.15,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,49,55,FALSE,FALSE,8,69,0.567,38.39,58.49,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
