fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,ED5J990H5VAZT,slope,exposure_ED5J990H5VAZT_1_slope,matched_restaurant,-0.0158917629754023,-0.015612015,-0.2130866575,-0.110890776,0.07913203944,0.17575749775
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,gender_male,exposure_SRQS8F7JWA9MZ_1_gendermale,matched_restaurant,-0.00712304593474667,-0.00963319999999999,-0.2598848475,-0.141157608,0.126075936,0.26184128
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,gender_female,exposure_SRQS8F7JWA9MZ_1_genderfemale,matched_restaurant,0.0504957306316333,0.0439969,-0.145598833,-0.046876492,0.1511441,0.2740215575
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,gender_male,exposure_SRQS8F7JWA9MZ_2_gendermale,matched_restaurant,0.0728940505178667,0.07666475,-0.2080031775,-0.065796064,0.2091965352,0.3373629425
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,gender_female,exposure_SRQS8F7JWA9MZ_2_genderfemale,matched_restaurant,-0.0454355411912333,-0.03731235,-0.2790952888,-0.149970408,0.0550751006,0.162824205
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,2HRX9P6HKXA8V,gender_male,exposure_2HRX9P6HKXA8V_1_gendermale,matched_restaurant,-0.00122374079063333,0.0032072,-0.276852415,-0.136619916,0.131408284,0.26056643
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,2HRX9P6HKXA8V,gender_female,exposure_2HRX9P6HKXA8V_1_genderfemale,matched_restaurant,0.0756453795025733,0.0763633,-0.245354155,-0.085417236,0.237185952,0.377701432
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,L69HYJ4Y3TR91,gender_male,exposure_L69HYJ4Y3TR91_1_gendermale,matched_restaurant,0.0278745391433333,0.027022,-0.238331425,-0.10577492,0.165857016,0.30201025
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,L69HYJ4Y3TR91,gender_female,exposure_L69HYJ4Y3TR91_1_genderfemale,matched_restaurant,-0.0194639646773,-0.0183424,-0.248255775,-0.127617352,0.0944506376,0.2004423375
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,ED5J990H5VAZT,gender_male,exposure_ED5J990H5VAZT_1_gendermale,matched_restaurant,0.0148065386400167,0.014267505,-0.049596122,-0.017585992,0.049617872,0.08046390325
