outcome,effect_type,mean,q2.5,q16,q84,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
chicken_fish,NA,-0.1746141095022,-0.391458475,NA,NA,0.0498710175,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2871981637113837,-0.06203005529301632
chicken_fish,NA,0.118900927525033,-0.129698295,NA,NA,0.36513554575,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.007332195115273138,0.24513405016533915
chicken_fish,NA,-0.542861651923333,-1.0798784,NA,NA,-0.1292637225,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7853653961835371,-0.300357907663129
chicken_fish,NA,-0.168134272108867,-0.399072525,NA,NA,0.0658838450000001,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.28674559098641805,-0.04952295323131595
chicken_fish,NA,0.0239497861973667,-0.0248195395,NA,NA,0.07117676875,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-5.39067948041462e-4,0.04843864034277486
chicken_fish,NA,-0.0291276957975,-0.093876085,NA,NA,0.031310782,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06106312105260204,0.0028077294576020415
vegetarian,NA,-0.0114319382279,-0.19090991,NA,NA,0.162816955,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.10166838338096124,0.07880450692516122
vegetarian,NA,0.0235997001606133,-0.1565389075,NA,NA,0.2021999765,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.06791532126795813,0.11511472158918473
vegetarian,NA,-0.0310619960323,-0.2725254225,NA,NA,0.20951796,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1540322466700551,0.0919082546054551
vegetarian,NA,-0.02956628692905,-0.32975552,NA,NA,0.28246648,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/L69HYJ4Y3TR91.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.18574536856170307,0.12661279470360307
vegetarian,NA,-0.0140537984989509,-0.110817475,NA,NA,0.0831202605,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/ED5J990H5VAZT.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.06352771061629783,0.03542011361839603
vegetarian,NA,0.207613703196133,-0.471827205,NA,NA,1.1714578375,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.21159166478856087,0.6268190711808269
