outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group,step_size
nonvegan,mpbamod,Count,-2.7991498490375464,NA,-1.5676999353939516,1.06590143743371,1.00613464348673,1.0017088950305,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-3.1637951338648063,0.996918033486696,0.999669826036819,1.00256819809078,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-4.231489827145238,NA,-1.797804408448735,1.01821596337793,1.00148966131059,1.00069893835527,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-5.063152200519559,NA,-2.203589669549318,1.00765801176325,1.00064579186264,1.00036674496163,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-1.2114338645248477,0.994913378518804,0.998488661974711,1.00154936305391,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-4.379521093673162,NA,-1.6512727741582858,1.01677255671082,1.00129507494363,1.00073627457043,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-1.9376550410109232,1.00109340588359,0.999880470560308,0.999731585860922,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-1.355787198811033,0.997578141717454,0.999071561937426,1.00139092027259,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-2.737154078750139,0.999031706468422,0.999853063335573,1.0001670034183,Restaurant,SRQS8F7JWA9MZ,Animal,0.021052631578947368
nonvegan,mpbamod,Count,-4.73232691955426,NA,-3.0129531860120387,1.0090737748199201,1.00088325710183,1.00016161148219,Restaurant,V3Q26BHF3SE2H,Animal,0.021052631578947368
nonvegan,mpbamod,Count,NA,NA,-3.5618010737221333,0.997369791306308,0.999725276178756,1.0006585219728,Restaurant,W8T41JZK0ZMEP,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-1.4661393971868562,NA,0.9948120144595758,2.7102904640529,1.0314605032075,1.00063361128206,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,1.3888952866537039,8.89996752208454,1.00822080217098,1.00142655872107,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-1.6334531528715477,NA,0.8914596833519721,2.30705597731848,1.02625865223185,1.00115634695736,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-1.7371015175454736,NA,0.42738935189273125,1.52273294703779,1.02025325590217,1.00026504304417,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-1.2984905539617093,NA,1.4851192208306687,10.5835562904827,1.0509600723745,1.00033294542483,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-6.528584040236408,NA,0.1859325231505724,1.21576680748036,1.00209614171562,0.999905032672287,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,-0.927448132949802,0.995394380558809,0.99756998463997,1.0004681793043,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-3.785538113643665,NA,0.3876644540595893,1.34996951598422,1.00511256622885,1.00114330017458,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-0.7051817064398469,NA,0.8078157137403073,2.44763023834537,1.05481142556752,1.00482270381403,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,1.5025501856272163,11.7326251222236,0.989721121054851,0.999990225678712,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,1.0972709411302612,3.0281853265887,0.997502781534114,1.0004003480459,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,1.9723393615935505,2307.84494850976,1.03997589149909,1.00046718502808,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-2.0522149150615836,NA,1.4888628884531347,13.6890753442744,1.03779478048938,1.00039100390588,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,0.9625524574732301,1.80813691212848,0.948906586537551,1.0000445933136899,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
