outcome,exposure_group,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegan,Form: Proportion,1.0056278773340555,0.7875550054745276,0.8895506743693138,1.1262725050194602,1.2493409971322287,1.0577256607987995,1.0056278773340555,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8895506743693138,1.1262725050194602
nonvegan,Exposure: Vegan,Form: Proportion,0.9833958933344014,0.8469835529697661,0.9130011525602124,1.061380606900837,1.146888617775494,0.8458315945557098,0.9833958933344014,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9130011525602124,1.061380606900837
nonvegan,Exposure: Vegan,Form: Proportion,0.968984270439207,0.8455629376789552,0.9062345583685669,1.0385530725131984,1.1071903675333608,0.7297385205739547,0.968984270439207,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9062345583685669,1.0385530725131984
nonvegan,Exposure: Vegan,Form: Proportion,0.932301983637698,0.7213802054254383,0.8207309281258982,1.0683287163223105,1.2182136019851917,0.4960964080878372,0.932301983637698,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8207309281258982,1.0683287163223105
nonvegan,Exposure: Vegan,Form: Proportion,0.9853237614401088,0.9070678042916543,0.9440493846094979,1.0238206860456498,1.065769874650277,0.8625604893121219,0.9853237614401088,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9440493846094979,1.0238206860456498
nonvegan,Exposure: Vegan,Form: Proportion,0.9718391225501162,0.8481464967579296,0.9065786194287025,1.0426509662946155,1.1162874807226695,0.7515256038826715,0.9718391225501162,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9065786194287025,1.0426509662946155
nonvegan,Exposure: Vegetarian,Form: Count,1.0069558805339462,0.9197123921888707,0.9607321854940122,1.0544778336552376,1.106885466045208,1.0069558805339462,1.000693420304778,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9607321854940122,1.0544778336552376
nonvegan,Exposure: Vegetarian,Form: Count,0.9980981607924406,0.96748473207863,0.98218854503848,1.0141044502498862,1.0299851683729953,0.9980981607924406,0.9998096531182669,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.98218854503848,1.0141044502498862
nonvegan,Exposure: Vegetarian,Form: Count,0.9960524640856674,0.978759023311204,0.9870950289752338,1.0048632934493003,1.0138308827890863,0.9960524640856674,0.9996045434135766,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9870950289752338,1.0048632934493003
nonvegan,Exposure: Vegetarian,Form: Count,0.9933499103681109,0.9440568355486693,0.9671232302716887,1.018366816729166,1.0432300423077039,0.9933499103681109,0.9993329925484367,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9671232302716887,1.018366816729166
