outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group
meat,Vegan,Count,1.10414813414101,0.8730341769974116,1.3823130925327993,1.10414813414101,1.0093337385998,1.01362267061712,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
meat,Vegan,Count,0.964607182355775,0.9447010766818622,0.9852942721265477,0.964607182355775,0.9963977903351,1.00705894194429,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
meat,Vegan,Proportion,0.936969073240184,0.7349655291387878,1.1667495498121803,0.954178504562074,0.936969073240184,1.00271351631673,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal
meat,Vegan,Proportion,0.89386970667197,0.7386963855109205,1.0632322463701525,0.476857577426568,0.89386970667197,1.00572516205068,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Animal
meat,Vegan,Proportion,0.899687965476346,0.7884022281820448,1.0194825630978628,0.423926814919826,0.899687965476346,0.999883827339602,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/JHDN7CF1C03X5.png,Animal
meat,Vegan,Proportion,0.93533748675051,0.694054228485451,1.225766453905245,1.36678654323113,0.93533748675051,1.00104877540021,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal
meat,Vegan,Proportion,1.04514733418687,0.960066501042666,1.1358234562599776,1.68795564777729,1.04514733418687,1.00148772913044,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal
meat,Vegan,Proportion,0.807383494432139,0.6992760803437275,0.9259848686687251,0.148337887566454,0.807383494432139,1.00125292740758,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal
meat,Vegetarian,Count,1.00172071045905,0.9109361859765419,1.1018919726749639,1.00172071045905,1.000070691567,1.00297768791454,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
meat,Vegetarian,Count,0.960493829476563,0.9276607724067533,0.9939422476194097,0.960493829476563,0.995962939566244,1.00028469399166,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Animal
meat,Vegetarian,Count,0.981816064575863,0.9649771081971656,0.9990391823286782,0.981816064575863,0.998162997348263,1.00124757931718,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Animal
