path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj_sorted/A3_its_forest_restaurants_log.html,1412.0000,-2.3104,24.6776,26.9880,52.3195,156,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj_sorted/A4_its_targeted_forest_restaurants_log.html,700.0000,0.0964,6.5364,6.4400,108.6957,36,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted/A1_proportion_forest_restaurants_log.html,1447.0000,-1.7106,24.2363,25.9469,55.7678,500,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted/A2_proportion_targeted_forest_restaurants_log.html,814.0000,-0.4358,12.5787,13.0146,62.5453,68,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted/A3_its_forest_restaurants_log.html,1658.0000,-3.1930,29.5317,32.7246,50.6652,188,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted/A4_its_targeted_forest_restaurants_log.html,700.0000,-0.7764,8.7593,9.5357,73.4085,40,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted_adj/A1_proportion_forest_restaurants_log.html,,-0.3478,6.3543,6.7020,59.6837,428,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted_adj/A2_proportion_targeted_forest_restaurants_log.html,,5.8950,6.0900,0.1950,2051.2821,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted_adj/A3_its_forest_restaurants_log.html,,-0.9090,6.6570,7.5660,52.8681,162,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t1_sorted_adj/A4_its_targeted_forest_restaurants_log.html,,-0.0563,4.5708,4.6270,86.4491,42,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t2/A1_proportion_forest_restaurants_log.html,3600.0000,-6.2932,113.5328,119.8260,30.0436,1364,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2/A2_proportion_targeted_forest_restaurants_log.html,3600.0000,-7.5240,79.0170,86.5410,41.5988,204,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2/A3_its_forest_restaurants_log.html,3600.0000,-11.5290,148.0883,159.6173,22.5540,516,CRAMPED
/home/godli/testing/forest_plots/z_log_and_overlay/t2/A4_its_targeted_forest_restaurants_log.html,2930.0000,-6.5437,57.1212,63.6650,46.0221,152,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj/A1_proportion_forest_restaurants_log.html,3600.0000,-6.8682,113.5578,120.4260,29.8939,1148,CRAMPED
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj/A2_proportion_targeted_forest_restaurants_log.html,3600.0000,-8.1240,79.0670,87.1910,41.2887,202,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj/A3_its_forest_restaurants_log.html,2490.0000,-4.9890,46.1433,51.1322,48.6973,120,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj/A4_its_targeted_forest_restaurants_log.html,1170.0000,-3.3381,20.6614,23.9995,48.7510,52,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj_sorted/A1_proportion_forest_restaurants_log.html,3600.0000,-3.4182,113.4078,116.8260,30.8151,1148,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj_sorted/A2_proportion_targeted_forest_restaurants_log.html,3600.0000,-8.1240,79.0670,87.1910,41.2887,202,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj_sorted/A3_its_forest_restaurants_log.html,2490.0000,-4.9890,46.1433,51.1322,48.6973,120,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_adj_sorted/A4_its_targeted_forest_restaurants_log.html,1170.0000,-3.3381,20.6614,23.9995,48.7510,52,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted/A1_proportion_forest_restaurants_log.html,3600.0000,-6.2932,113.5328,119.8260,30.0436,1364,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted/A2_proportion_targeted_forest_restaurants_log.html,3600.0000,-7.5240,79.0170,86.5410,41.5988,204,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted/A3_its_forest_restaurants_log.html,3600.0000,-11.5290,148.0883,159.6173,22.5540,516,CRAMPED
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted/A4_its_targeted_forest_restaurants_log.html,2930.0000,-6.5437,57.1212,63.6650,46.0221,152,OK
