"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone_trunc/proportion_targeted/breakfast_p/breakfast_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.0634954295676,-0.28227355,0.23115095,1.01384959533499,267.953866164939
"model_fits/finalized_redone_trunc/proportion_targeted/breakfast_p/breakfast_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0318946258705667,-1.6209255,1.59568,1.00060996551854,1144.36369572735
"model_fits/finalized_redone_trunc/proportion_targeted/breakfast_p/breakfast_dishes_presence","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.1684801145372,-0.7976356,0.73598845,1.00445683423579,333.610640054808
"model_fits/finalized_redone_trunc/proportion_targeted/breakfast_p/breakfast_dishes_presence","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0275157723305,-1.59767,1.642528,1.00068623859579,1150.74179269132
"model_fits/finalized_redone_trunc/proportion_targeted/chicken_p/chicken_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.097207514705925,-0.20689095,0.46111205,1.0291849385116,99.7503227742549
"model_fits/finalized_redone_trunc/proportion_targeted/chicken_p/chicken_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.063162497631,-1.659553,1.669811,1.01753697181727,129.989544923003
"model_fits/finalized_redone_trunc/proportion_targeted/chicken_p/chicken_dishes_presence","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.186938336830333,-0.6481335,1.224839,1.05951113620135,62.2838200697004
"model_fits/finalized_redone_trunc/proportion_targeted/chicken_p/chicken_dishes_presence","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0410373081245333,-1.5351225,1.555211,1.29734590527199,660.950252404898
"model_fits/finalized_redone_trunc/proportion_targeted/dairy_p/dairy_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0248206831915667,-0.07706933,0.062846275,1.04301689730938,81.1365730264123
"model_fits/finalized_redone_trunc/proportion_targeted/dairy_p/dairy_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0300769083399333,-1.607612,1.591228,1.00757339644646,452.075166021523
