"fit_dir","variable","model_col","type_fine","restaurant","transform","mean","median","sd","q2.5","q97.5","mean_t","q2.5_t","q97.5_t","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[41,2]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",-0.0204695642988625,-0.02048235,0.0516284953028808,-0.1243882,0.0798863825,0.979738515049378,0.883036979382243,1.08316399429832,1.00196905039339,1670.91415529084,2519.6019195181
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[42,5]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",0.15457525585,0.1545275,0.0384255707927677,0.0802114025,0.2294201,1.16716211052922,1.08351610147759,1.25787035936635,1.00146644541606,1903.50832011944,2511.83942627427
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[43,3]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",-0.02813471189925,-0.0282599,0.00822524758024258,-0.04412796,-0.01208831,0.97225738334026,0.956831513478782,0.98798446010167,1.00019162310557,3080.28778503776,3347.08975393625
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[44,4]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.08230519924685,0.08164125,0.0338803327323356,0.0164864125,0.148736025,1.08578714068359,1.01662306332634,1.16036664099267,0.999725155092152,1063.5101376932,2133.8330690624
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[45,1]","exposure_SRQS8F7JWA9MZ_1","level","SRQS8F7JWA9MZ","exp",0.9575829195,0.9555525,0.0884724284696416,0.793400625,1.13398175,2.60539141579087,2.21090210599593,3.10800720278156,1.01362267061712,381.004102638331,912.271954797013
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","beta[46,6]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",-0.008165199940605,-0.008111825,0.00813151243452205,-0.024388845,0.00758950825,0.991868044759687,0.975906159738944,1.00761838156627,1.00705894194429,1100.12591175646,2493.09674831409
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.20236463549275,0.199799,0.185752307310906,-0.184250625,0.61504065,1.22429434790357,0.831727326041801,1.84973178962733,1.02580915992028,72.7095908162621,92.1053536110499
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",0.044194911760175,0.0323562,1.00705868209268,-1.878363,1.99372075,1.04518605408963,0.152840100324734,7.34280373547161,1.00743938242708,343.873480092467,607.418021035216
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[41,2]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",-0.69494061046875,-0.67088,0.874616868549183,-2.40515575,0.975625725,0.932865673613612,0.786222399938876,1.10248042436144,1.00271351631673,544.740203271512,1369.80257919847
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[42,5]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",0.373762357037,0.391723,0.766603426813175,-1.149549,1.82504275,1.03808351145573,0.891406345426459,1.20021928188004,1.00572516205068,575.308888515146,1244.38644580595
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[43,3]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp_p10",-1.848324886875,-1.848335,0.467364207847416,-2.7709295,-0.9391548,0.831243514882599,0.757984039219583,0.910359702591285,0.999883827339602,1653.39641447102,2063.37424660621
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[44,4]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp_p10",2.45832178880575,2.418465,1.1685147478227,0.263585275,4.7912145,1.27868496519208,1.02670898589967,1.61465522352784,1.00104877540021,447.751672633845,831.3629144572
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[45,1]","exposure_SRQS8F7JWA9MZ_1","level","SRQS8F7JWA9MZ","exp_p10",2.28781003,2.284935,0.318272654486523,1.6667915,2.93181525,1.25706671502399,1.18137516027351,1.34068613639523,1.00148772913044,1548.98289137859,3017.52123396185
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","beta[46,6]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp_p10",-0.9536652207025,-0.9479025,0.549245349198004,-2.0516925,0.131359025,0.909039690292064,0.814509449020469,1.013222557482,1.00125292740758,884.127052342172,1325.03352116866
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp_p10",0.12744595409674,0.1413765,0.625160969466319,-1.11961475,1.39765675,1.01282615387401,0.894078701218845,1.15000429252658,1.03274237024917,168.453037456405,425.907554630179
"model_fits/finalized_redone_trunc/proportion/meat/vegan_dishes_prop","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp_p10",0.057880513898,0.0515336,1.04129681182528,-1.938033,2.03701175,1.00580483452417,0.82381993371342,1.22593175965704,1.00512867168673,495.218354807987,1107.63462200108
"model_fits/finalized_redone_trunc/proportion/meat/vegetarian_dishes_count","beta[41,2]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",0.0078967131381725,0.008782075,0.0319552932779987,-0.0555755775,0.0697051975,1.00792797441029,0.945940529148438,1.07219204976158,1.00297768791454,577.981729325794,932.807984578037
"model_fits/finalized_redone_trunc/proportion/meat/vegetarian_dishes_count","beta[42,5]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",0.063387510725,0.0633045,0.0141904038721754,0.0352285225,0.0912710625,1.06543962852889,1.03585639824793,1.09556593185422,1.00028469399166,992.979783964314,2126.4541576126
"model_fits/finalized_redone_trunc/proportion/meat/vegetarian_dishes_count","beta[43,3]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",-0.01497815514205,-0.01504075,0.0063524848082074,-0.0277698825,-0.002653044,0.985133459468497,0.972612156129177,0.997350472210991,1.00124757931718,2581.10702866958,3096.99236142298
"model_fits/finalized_redone_trunc/proportion/meat/vegetarian_dishes_count","beta[44,4]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.0373833255964,0.0374059,0.0226388819868642,-0.0074201375,0.0832814475,1.03809087138253,0.992607323756182,1.08684765606189,1.00304630482722,607.611320754784,1393.9430282402
"model_fits/finalized_redone_trunc/proportion/meat/vegetarian_dishes_count","beta[45,1]","exposure_SRQS8F7JWA9MZ_1","level","SRQS8F7JWA9MZ","exp",0.0396934187305,0.03954515,0.012992817129903,0.0145751325,0.066101385,1.04049173001291,1.01468186767301,1.06833502482201,1.00347612897543,1216.00243809864,2483.33880507753
