"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","untextured_p",NA,"restaurant","SRQS8F7JWA9MZ","level",0.08862520889025,0.009090126,0.196456725,1.09402283705018,1.0089143079404,1.2735883046351,9.04857983764835,67.0724165294641
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",1,"pooled",NA,"level",-0.125023383293779,-0.4577375775,0.0715158824999997,0.88934592536005,0.987655491335718,1.00715027696486,257.958189996171,401.401281593683
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",2,"pooled",NA,"slope",-0.0531767362985,-0.973155275,0.725514925,1.02712075078059,0.995519039487403,1.01029087752891,172.95457642446,249.837343023338
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","2HRX9P6HKXA8V","level",-0.128924920431417,-0.37509174,0.0604660125,0.884506466026771,0.987252365582106,1.00402756843356,458.303268017205,1465.76220140623
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","2HRX9P6HKXA8V","slope",0.39690350124635,-0.107381875,0.839107725,1.52906538759652,1.04078240770855,1.01709800122419,222.292306915561,421.923444867961
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","ED5J990H5VAZT","level",-0.160514506784867,-0.650232375,0.0717724875,0.866630456288929,0.984260169989715,1.01483584978293,264.28310604237,746.795087460843
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","ED5J990H5VAZT","slope",1.20320064206667,0.541832625,1.85574425,3.52949640281712,1.12851297222746,1.0338340291338,129.909055134395,204.502487598422
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","JHDN7CF1C03X5","level",0.00319216870213333,-0.081546765,0.0921298525,1.00416190729829,1.00032886708885,1.00384556577936,916.042744145758,2291.16425169418
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","JHDN7CF1C03X5","slope",0.702246666666667,0.517384075,0.901810825,2.02794133582109,1.07280018767185,1.01275472343718,349.586600439728,675.369311575606
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","L69HYJ4Y3TR91","level",-0.0542075405662717,-0.511012825,0.314305175,0.963282179666798,0.994764012330544,1.01116506505875,382.345371785937,890.289914337338
