outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
meat,NA,-0.0200392612682,-0.2343280025,0.1922594925,1.0040544625258,479.738834655575,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1288626018294245,0.08878407929302448
meat,NA,-0.0906564358023333,-1.232861475,0.9865005625,1.00318170409021,290.232501955066,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6568202208788638,0.47550734927419724
meat,NA,0.145966129950767,-0.9097963175,1.334350525,1.00391198613684,300.240759011533,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4265203094624984,0.7184525693640323
meat,NA,-0.076484293944,-0.3302775775,0.1793288125,1.00225364573557,408.675268222168,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2064859240460408,0.0535173361580408
meat,NA,0.09887598630291,-0.1052578775,0.3486771525,1.00971172031276,473.934732635387,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0169237662481104,0.2146757388539304
meat,NA,0.0566575402002667,-0.209548215,0.3164595905,1.00060204344656,416.728707876466,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07752812446810067,0.19084320486863407
meat,NA,-0.0595114109679333,-0.3133548825,0.1575177125,1.01143804401928,484.043599579606,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.17963197091691288,0.060609148981046294
chicken_fish,NA,0.198499944196267,-0.0360892575,0.464350925,2.59781975421231,3.57895690123425,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.0708366323340221,0.3261632560585119
chicken_fish,NA,-0.127287887265,-0.3989117175,0.133973525,2.91059843347953,3.46028322001293,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2632280001476531,0.008652225617653053
chicken_fish,NA,-0.1746141095022,-0.391458475,0.0498710175,3.31334568433011,3.33961216311542,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2871981637113837,-0.06203005529301632
