outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegan,mpbamod,Count,0.06765864847381486,NA,1.0072354096325589,-0.01005033585350145,0.1570037488096647,1.00059779533744,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegan,mpbamod,Count,-0.13926206733350766,NA,0.9865613222104986,-0.31471074483970024,0.02955880224154443,1.00475125619859,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegan,mpbamod,Count,-0.09431067947124129,NA,0.9901517622534408,-0.23572233352106983,0.01980262729617973,1.0017500268395,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegan,mpbamod,Count,0.02955880224154443,NA,1.0026716878105153,0.009950330853168092,0.04879016416943205,0.999911625105337,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegan,mpbamod,Count,0.11332868530700327,NA,1.0115980478062667,-0.030459207484708574,0.2700271372130602,1.0033205728697,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegan,mpbamod,Count,-0.07257069283483537,NA,0.992540726689573,-0.21072103131565253,0.04879016416943205,1.00358701521142,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegan,mpbamod,Count,0.03922071315328133,NA,1.0036351496842142,0.009950330853168092,0.058268908123975824,1.00002966815483,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegan,mpbamod,Count,0.1823215567939546,NA,1.0187039788860528,0.03922071315328133,0.3293037471426003,1.01029107254963,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegan,mpbamod,Count,0.009950330853168092,NA,1.0005066460672203,-0.040821994520255166,0.04879016416943205,1.00044750013044,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegan,mpbamod,Count,0.1570037488096647,NA,1.0162167841409822,-0.01005033585350145,0.36464311358790924,1.00419515306413,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegan,mpbamod,Count,0,NA,1.000492924217194,-0.11653381625595151,0.12221763272424911,1.00243303662331,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegan,mpbamod,Count,0.08617769624105241,NA,1.0088545032453071,-0.19845093872383832,0.3987761199573678,1.00133665349366,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegan,mpbamod,Count,0.25464221837358075,NA,1.0256963728348596,0.04879016416943205,0.5364933705145685,1.00710956259017,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegan,mpbamod,Count,0.04879016416943205,NA,1.0046999315277818,-0.11653381625595151,0.2151113796169455,1.00534478126478,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegan,mpbamod,Count,0.10436001532424286,NA,1.0102036233834961,-0.09431067947124129,0.3220834991691132,1.00793615439036,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegan,mpbamod,Count,0.12221763272424911,NA,1.0124458061663955,0.02955880224154443,0.22314355131420976,1.00540678251287,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegan,mpbamod,Count,0,NA,0.9999120193384379,-0.06187540371808753,0.058268908123975824,1.00105737080013,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
vegan,mpbamod,Count,0.009950330853168092,NA,1.0006183955300751,-0.020202707317519466,0.02955880224154443,1.00138030371023,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
vegan,mpbamod,Proportion,-2.2072749131897207,NA,0.7982396395130693,-Inf,0.712949807856125,1.00184886300923,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegan,mpbamod,Proportion,-3.506557897319982,NA,0.6917206612634802,-Inf,-0.23572233352106983,1.00126172857505,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegan,mpbamod,Proportion,-4.605170185988091,NA,0.6358228759188128,-Inf,-1.171182981502945,0.999966647972267,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegan,mpbamod,Proportion,-0.2744368457017603,NA,0.9732463767479498,-1.4271163556401458,0.8153648132841944,1.00105972352494,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegan,mpbamod,Proportion,-3.912023005428146,NA,0.6860339702636684,-Inf,-0.1743533871447778,1.00090303025214,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegan,mpbamod,Proportion,-Inf,NA,0.5058474725673773,-Inf,-4.605170185988091,1.00169004324964,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
