outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
meat,vegan,Count,-0.01005033585350145,NA,0.9991841435165668,-0.020202707317519466,0.009950330853168092,1.0070589419442888,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Proportion,2.3389170222414357,NA,1.25770412879386,1.667706820558076,2.9317269435780786,1.0014877291304385,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Proportion,-0.3285040669720361,NA,0.9364259119532192,-2.4079456086518722,0.9745596399981308,1.00271351631673,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Proportion,-1.7147984280919266,NA,0.8321516670003865,-2.8134107167600364,-0.941608539858445,0.9998838273396023,Restaurant,JHDN7CF1C03X5,Animal
meat,vegan,Proportion,3.159125820462427,NA,1.2874928131899008,0.26236426446749106,4.79123472906088,1.001048775400209,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegan,Proportion,0.6575200029167941,NA,1.0411281702555109,-1.1394342831883648,1.824549292051046,1.005725162050677,Restaurant,ED5J990H5VAZT,Animal
meat,vegan,Proportion,-0.7985076962177716,NA,0.9104117335789552,-2.0402208285265546,0.131028262406404,1.0012529274075777,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegetarian,Count,0.03922071315328133,NA,1.003978077390364,0.009950330853168092,0.06765864847381486,1.003476128975431,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegetarian,Count,0.009950330853168092,NA,1.0007950909842513,-0.05129329438755058,0.06765864847381486,1.0029776879145353,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegetarian,Count,-0.01005033585350145,NA,0.9985035070699265,-0.030459207484708574,0,1.0012475793171827,Restaurant,JHDN7CF1C03X5,Animal
meat,vegetarian,Count,0.03922071315328133,NA,1.0037479004585435,-0.01005033585350145,0.08617769624105241,1.0030463048272182,Restaurant,L69HYJ4Y3TR91,Animal
