outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
chicken_fish,vegan,Proportion,-0.48101376781121713,NA,0.6798815802690521,NA,1.06626993766895,1.0006232987943,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegetarian,Count,-3.1966958316484946,NA,-1.868722698366577,NA,1.00411546650218,1.00162758212583,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegetarian,Count,-2.148559132726091,-3.2169469987498664,-1.6083694834077227,NA,1.01174195528316,1.00028655243895,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegetarian,Count,NA,NA,NA,NA,0.997161379902615,1.00034610536528,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegetarian,Count,-1.6868657695089364,-3.2380255153740083,-1.022343848435735,NA,1.01871660323189,1.01090814550011,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegetarian,Count,-4.6200233091601515,NA,-3.7140424022947527,NA,1.00098600838513,1.00030401954159,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegetarian,Proportion,NA,NA,1.0228596571109398,NA,0.999683532661013,1.00039417270281,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegetarian,Proportion,NA,NA,NA,NA,0.587443766320696,1.00323777357085,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegetarian,Proportion,NA,NA,NA,NA,0.78070861752339,1.00222384862904,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegetarian,Proportion,-0.22727476494129148,NA,2.0141156439760106,NA,1.13237592778946,1.00660261072827,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegetarian,Proportion,-3.3190823590318987,NA,0.5747356192977193,NA,1.00739554603054,1.00204434874014,Restaurant,W8T41JZK0ZMEP,Animal
vegetarian,mpbamod,Count,NA,NA,-1.8953656745884315,NA,0.990781206440778,1.00219328983484,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Count,-6.86816168586204,NA,-3.8167137574424372,NA,1.00010459495222,1.00776680739006,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Count,NA,NA,-3.1936436627389124,NA,0.999724735264354,1.00100310569389,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Count,-3.002938079967073,NA,-1.3724131031279985,NA,1.00502767236983,1.00339414990148,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Count,-1.6717443652905206,-2.497213772695058,-1.213477750211049,NA,1.01898524598596,1.00312312239288,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Count,NA,NA,-3.6544430811473276,NA,0.999813675280212,1.00294665865271,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,mpbamod,Proportion,NA,NA,0.691123221235401,NA,0.813099716781373,1.00315978045172,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Proportion,-4.115041574285023,NA,-0.7727780551317097,NA,1.00188535096976,1.00140173955214,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Proportion,NA,NA,NA,NA,0.768847792175614,1.00045456127922,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Proportion,-0.4838047072852539,NA,1.6390060981267658,NA,1.08983601648434,1.00031505827753,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Proportion,0.525812346717689,-0.48274971658655963,1.021212751406606,NA,1.18614214508985,1.00180859772225,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Proportion,NA,NA,0.2931191114311574,NA,0.997861129280333,1.00033827752203,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Count,-3.795604221768586,NA,-1.8263692992598497,NA,1.00227381414702,1.00074974431862,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Count,-3.759277583942619,NA,-2.2561128512275785,NA,1.00234140307724,1.00101572078938,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Count,-3.314368820630739,-4.483684405072855,-2.7897619007683665,NA,1.00364316607585,1.00258395701606,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Count,-4.247431369662326,NA,-2.403158004208177,NA,1.00143861175112,1.0015388160601,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Count,NA,NA,NA,NA,0.961948400902788,1.00085527062933,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Count,NA,NA,-4.126544459085633,NA,0.9996469623654,1.00263532367418,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Proportion,-0.4624223095593893,NA,1.0239088482326946,NA,1.07173412211703,1.0012425203694,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Proportion,-3.0935595276686403,NA,0.37006400162748243,NA,1.00708607989089,1.00352593791776,Restaurant,ED5J990H5VAZT,Plant-based
