outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Egg,count,-2.668468830118783,-3.6872277189797753,-2.0532057301897324,1.0718202200986402,1.006959942949831,1.01002967809778,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/V3Q26BHF3SE2H.png,Animal
Egg,count,-2.890865015367632,-3.5335103739807323,-2.4654333414172283,1.057098783624821,1.0055682613696368,1.00009575366493,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
Egg,presence,-2.4303138412271363,NA,-1.737363049517953,1.0919981763694797,1.0088397627006138,1.00237037283173,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/78AY09MVJVTYE.png,Animal
Egg,presence,-2.3684791118917534,NA,-1.3439230394270576,1.0981456759268968,1.0094062642481094,1.00140083921507,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/ED5J990H5VAZT.png,Animal
Egg,presence,-1.6835788804055098,NA,0.3169979447027875,1.2040708106875895,1.0187443258117295,1.0143646906247,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal
Egg,presence,-1.973612828372994,NA,-0.8423791272135531,1.1490711628744936,1.013992382847981,1.00921594339451,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal
Egg,presence,-2.4027075088235903,NA,-0.4071705114821847,1.0946915847569223,1.0090883168042806,1.03839545314556,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Untextured,count,-1.7298620897114372,-2.4442538471798896,-1.311782427712361,1.1939998161593441,1.0178890114459225,1.00017568735827,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/1SQPTEGYPH0GA.png,Animal
Untextured,count,-2.568062032578986,-3.5050605189507373,-2.083823930332807,1.079700850655342,1.0076978787525315,0.999920558778355,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/9XKJD8DQTH559.png,Animal
Untextured,count,-1.82150900424147,NA,-0.9872836378115579,1.1756032707671342,1.0163097185324796,1.00055291215551,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/C0BE4NDSW26QN.png,Animal
Untextured,count,NA,NA,-3.3030801906571243,0.9228299187009045,0.9920011294340103,1.00282151810237,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/CB2KHY1C2G9PT.png,Animal
Untextured,count,-0.41830721276766836,-4.2738221269979215,1.19550515475743,1.9312355939781998,1.0680301817676174,1.02723563602912,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/EMBVNVD207CC6.png,Animal
Untextured,count,-2.143690900248491,-3.688611989885682,-1.5365671696187628,1.1243683273215466,1.0117911126287769,1.00135910228468,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Untextured,count,-1.0358615745339605,NA,0.33897855745924144,1.426067218569132,1.0361294065901576,1.01468052397313,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/LFZFT3VASXPED.png,Animal
Untextured,count,-1.6378344633419293,NA,-0.466029695789184,1.2145827089196166,1.0196302451648773,1.01464297322953,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/LQ5EH4BKGV61T.png,Animal
Untextured,count,-2.178894248815169,NA,-1.4470119247552826,1.1198184742173263,1.011380935182686,1.00045313832555,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/S8MT0YGD2KTN9.png,Animal
Untextured,count,-1.3382513411805124,NA,0.13568538361938526,1.2999215908118054,1.02657743932162,1.01086721974932,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/SAFK7ND1HR6XS.png,Animal
Untextured,count,-1.7776111411264512,-2.720286940546543,-1.3124114785826502,1.1841692591000537,1.017047831743457,1.00126469788833,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
Untextured,count,-1.004836637468971,-1.4378456887951667,-0.6731228131440409,1.442105844959637,1.037288859780444,1.00450635504269,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
