outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
meat,vegetarian,Proportion,0.9077752957697911,0.7943282347242815,1.044123984639697,1.003897835851233,Restaurant,ED5J990H5VAZT,Animal
meat,vegetarian,Proportion,0.8089433786991753,0.7042261140012369,0.92118162761254,1.001520307865696,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Count,1,0.86,1.16,1.0045146174658588,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Count,1.03,1,1.07,1.000852033782686,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Count,0.97,0.72,1.13,1.0076648404001753,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Count,0.98,0.94,1.03,1.0072604438540667,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Count,1.01,0.99,1.04,1.0005778270063872,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Proportion,1.0077257952426748,0.7042261140012369,1.384028821814788,1.002108161089199,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Proportion,1.346490964915845,1.1518188513888727,1.5680382101731842,1.0001984173481606,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Proportion,0.9502002165056764,0,1.3784550242328257,1.0001520880962032,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Proportion,0.8923084338428022,0.8089433786991753,0.9884142560352875,1.000412496770077,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Proportion,1.0717734625362931,0.9348824726202953,1.2264478112903319,0.9999429075602981,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegan,Count,0.95,0.81,1.11,1.0016365618911147,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegan,Count,0.95,0.93,0.97,1.000930938934107,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegan,Count,1.19,0.99,1.43,1.0011532465493074,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegan,Count,1.52,1.21,1.93,1.00379887083133,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegan,Count,1.01,0.99,1.04,1.002024503245485,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegan,Proportion,0.8923084338428022,0.6762433378062414,1.136343010119167,1.0002744772306815,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegan,Proportion,0.754770860611584,0.6762433378062414,0.8424172486141028,1.0013822609720118,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegan,Proportion,1.1096311592782364,0.7860030855966228,1.7265485730952415,1.0019796756537886,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegan,Proportion,1.079552695180011,0.7943282347242815,1.56672453431484,1.001016558044352,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegan,Proportion,1.0628739971122994,0.9330329915368074,1.2182411066377865,1.0006232987942971,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegetarian,Count,1.04,0.92,1.17,1.0016275821258303,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegetarian,Count,0.97,0.96,0.99,1.000346105365282,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegetarian,Count,1.2,1.04,1.42,1.0109081455001143,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegetarian,Count,1.12,1.04,1.22,1.0002865524389535,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegetarian,Count,1.01,1,1.02,1.0003040195415949,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegetarian,Proportion,0.9884142560352875,0.7664958432641342,1.3149003724108161,1.0003941727028076,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegetarian,Proportion,0.7767996097157338,0.7042261140012369,0.8705505632961241,1.0022238486290354,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegetarian,Proportion,1.06684993901576,0.6762433378062414,2.047914121867144,1.0066026107282688,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegetarian,Proportion,0,0,0.8424172486141028,1.0032377735708458,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegetarian,Proportion,1.0029602531456534,0.8469842998552983,1.1952305814469562,1.0020443487401385,Restaurant,W8T41JZK0ZMEP,Animal
vegetarian,mpbamod,Count,1.44,1.33,1.58,1.0031231223928836,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Count,0.82,0.67,1,1.0021932898348358,Restaurant,2HRX9P6HKXA8V,Plant-based
