outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,Gender x Level,-0.130072325098167,-0.393202925,0.10535525,0.999474888502362,1094.23057130909,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,24,0.12
total,Level Change,-0.0965679774022333,-0.37200555,0.16092955,0.99994975997808,933.403063042117,Restaurant,W8T41JZK0ZMEP_4_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP_4_genderfemale.png,Total,50,49,0.12
total,Gender x Level,0.258718567983,-0.0735161475,0.7329271,1.00368504246039,379.934348929641,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,25,0.12
total,Level Change,-0.1301367993867,-0.447722575,0.13902945,1.0018032930144,1269.7067145306,Restaurant,W8T41JZK0ZMEP_5_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP_5_genderfemale.png,Total,50,50,0.12
total,Gender x Level,0.0271511559823333,-0.126455625,0.181026025,1.00875529449907,696.984342246212,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/EMBVNVD207CC6.png,Total,25,9,0.12
total,Level Change,-0.0245204986106667,-0.2717731,0.21958005,1.00364938112541,998.745574885287,Restaurant,EMBVNVD207CC6_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/EMBVNVD207CC6_1_genderfemale.png,Total,50,18,0.12
total,Gender x Level,0.0378092393853333,-0.3040255,0.392188075,1.00299837972655,918.728236680564,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,25,6,0.12
total,Level Change,0.0920905106078333,-0.426556275,0.65908805,1.00167828992367,901.193648540351,Restaurant,C0BE4NDSW26QN_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN_1_genderfemale.png,Total,50,13,0.12
total,Gender x Level,0.0325516820733333,-0.32132095,0.373759375,1.0038853581969,913.688814569544,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,25,7,0.12
total,Level Change,0.0854294537689,-0.470416075,0.6026622,1.00053940802101,847.927953240908,Restaurant,C0BE4NDSW26QN_2_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN_2_genderfemale.png,Total,50,14,0.12
